#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome dot","NC_048535.1",16488,39493,"-",117902905,"LOC117902905","-","XP_034670353.1",103,"uncharacterized protein LOC117902905 isoform X1"
"chromosome dot","NC_048535.1",16488,24005,"-",117902905,"LOC117902905","-","XP_034670354.1",78,"uncharacterized protein LOC117902905 isoform X2"
"chromosome dot","NC_048535.1",19716,38917,"+",117902902,"LOC117902902","-","XP_034670349.1",1056,"uncharacterized protein LOC117902902 isoform X1"
"chromosome dot","NC_048535.1",19716,38917,"+",117902902,"LOC117902902","-","XP_034670350.1",1026,"uncharacterized protein LOC117902902 isoform X2"
"chromosome dot","NC_048535.1",39926,40436,"-",117902903,"LOC117902903","-","XP_034670351.1",106,"uncharacterized protein LOC117902903"
"chromosome dot","NC_048535.1",39926,40436,"-",117902903,"LOC117902903","-","XP_034670352.1",106,"uncharacterized protein LOC117902903"
"chromosome dot","NC_048535.1",50539,96967,"-",117902929,"LOC117902929","-","XP_034670417.1",1409,"calcium-dependent secretion activator isoform X4"
"chromosome dot","NC_048535.1",50539,96967,"-",117902929,"LOC117902929","-","XP_034670416.1",1465,"calcium-dependent secretion activator isoform X3"
"chromosome dot","NC_048535.1",50539,96967,"-",117902929,"LOC117902929","-","XP_034670415.1",1480,"calcium-dependent secretion activator isoform X2"
"chromosome dot","NC_048535.1",50539,96967,"-",117902929,"LOC117902929","-","XP_034670408.1",1536,"calcium-dependent secretion activator isoform X1"
"chromosome dot","NC_048535.1",50539,96967,"-",117902929,"LOC117902929","-","XP_034670409.1",1536,"calcium-dependent secretion activator isoform X1"
"chromosome dot","NC_048535.1",50539,96967,"-",117902929,"LOC117902929","-","XP_034670410.1",1536,"calcium-dependent secretion activator isoform X1"
"chromosome dot","NC_048535.1",50539,96967,"-",117902929,"LOC117902929","-","XP_034670411.1",1536,"calcium-dependent secretion activator isoform X1"
"chromosome dot","NC_048535.1",50539,96967,"-",117902929,"LOC117902929","-","XP_034670413.1",1536,"calcium-dependent secretion activator isoform X1"
"chromosome dot","NC_048535.1",50539,96967,"-",117902929,"LOC117902929","-","XP_034670414.1",1536,"calcium-dependent secretion activator isoform X1"
"chromosome dot","NC_048535.1",102172,108489,"+",117902938,"LOC117902938","-","XP_034670433.1",865,"putative dual specificity tyrosine-phosphorylation-regulated kinase 3 homolog isoform X1"
"chromosome dot","NC_048535.1",102172,108489,"+",117902938,"LOC117902938","-","XP_034670434.1",865,"putative dual specificity tyrosine-phosphorylation-regulated kinase 3 homolog isoform X1"
"chromosome dot","NC_048535.1",102172,108489,"+",117902938,"LOC117902938","-","XP_034670435.1",861,"putative dual specificity tyrosine-phosphorylation-regulated kinase 3 homolog isoform X2"
"chromosome dot","NC_048535.1",121604,125176,"+",117902963,"LOC117902963","-","XP_034670505.1",671,"uncharacterized protein LOC117902963 isoform X1"
"chromosome dot","NC_048535.1",121604,125176,"+",117902963,"LOC117902963","-","XP_034670506.1",657,"uncharacterized protein LOC117902963 isoform X2"
"chromosome dot","NC_048535.1",128142,131796,"-",117902965,"LOC117902965","-","XP_034670508.1",404,"phosphatidylinositol 5-phosphate 4-kinase type-2 beta"
"chromosome dot","NC_048535.1",128142,131796,"-",117902965,"LOC117902965","-","XP_034670509.1",404,"phosphatidylinositol 5-phosphate 4-kinase type-2 beta"
"chromosome dot","NC_048535.1",128142,131796,"-",117902965,"LOC117902965","-","XP_034670510.1",404,"phosphatidylinositol 5-phosphate 4-kinase type-2 beta"
"chromosome dot","NC_048535.1",137333,152886,"+",117902962,"LOC117902962","-","XP_034670501.1",748,"microphthalmia-associated transcription factor isoform X1"
"chromosome dot","NC_048535.1",137333,152886,"+",117902962,"LOC117902962","-","XP_034670502.1",741,"microphthalmia-associated transcription factor isoform X2"
"chromosome dot","NC_048535.1",144067,152886,"+",117902962,"LOC117902962","-","XP_034670503.1",721,"microphthalmia-associated transcription factor isoform X3"
"chromosome dot","NC_048535.1",154978,155792,"-",117902966,"LOC117902966","-","XP_034670511.1",180,"ADP-ribosylation factor 2"
"chromosome dot","NC_048535.1",158686,160843,"+",117902964,"LOC117902964","-","XP_034670507.1",564,"polycomb protein PHO"
"chromosome dot","NC_048535.1",161830,169104,"-",117902960,"LOC117902960","-","XP_034670500.1",111,"uncharacterized protein LOC117902960 isoform X8"
"chromosome dot","NC_048535.1",161830,169104,"-",117902960,"LOC117902960","-","XP_034670493.1",734,"osmotic avoidance abnormal protein 3 isoform X2"
"chromosome dot","NC_048535.1",161830,168425,"-",117902960,"LOC117902960","-","XP_034670499.1",140,"uncharacterized protein LOC117902960 isoform X7"
"chromosome dot","NC_048535.1",161830,168425,"-",117902960,"LOC117902960","-","XP_034670492.1",763,"osmotic avoidance abnormal protein 3 isoform X1"
"chromosome dot","NC_048535.1",161830,168349,"-",117902960,"LOC117902960","-","XP_034670498.1",185,"uncharacterized protein LOC117902960 isoform X6"
"chromosome dot","NC_048535.1",161830,165967,"-",117902960,"LOC117902960","-","XP_034670496.1",384,"kinesin-like protein KIF17 isoform X5"
"chromosome dot","NC_048535.1",161830,165967,"-",117902960,"LOC117902960","-","XP_034670497.1",384,"kinesin-like protein KIF17 isoform X5"
"chromosome dot","NC_048535.1",165280,168425,"-",117902960,"LOC117902960","-","XP_034670495.1",583,"osmotic avoidance abnormal protein 3 isoform X4"
"chromosome dot","NC_048535.1",165350,168425,"-",117902960,"LOC117902960","-","XP_034670494.1",584,"osmotic avoidance abnormal protein 3 isoform X3"
"chromosome dot","NC_048535.1",169526,178677,"+",117902959,"LOC117902959","-","XP_034670487.1",1087,"glutamate receptor ionotropic, kainate 2 isoform X1"
"chromosome dot","NC_048535.1",169526,178677,"+",117902959,"LOC117902959","-","XP_034670488.1",1075,"glutamate receptor ionotropic, kainate 2 isoform X2"
"chromosome dot","NC_048535.1",169526,178677,"+",117902959,"LOC117902959","-","XP_034670491.1",919,"glutamate receptor ionotropic, kainate 2 isoform X4"
"chromosome dot","NC_048535.1",169526,178677,"+",117902959,"LOC117902959","-","XP_034670490.1",1001,"glutamate receptor ionotropic, kainate 2 isoform X3"
"chromosome dot","NC_048535.1",183457,187085,"-",117902951,"LOC117902951","-","XP_034670464.1",502,"uncharacterized protein LOC117902951"
"chromosome dot","NC_048535.1",199647,206367,"+",117902912,"LOC117902912","-","XP_034670362.1",1002,"calsyntenin-1 isoform X1"
"chromosome dot","NC_048535.1",199647,206367,"+",117902912,"LOC117902912","-","XP_034670363.1",1002,"calsyntenin-1 isoform X1"
"chromosome dot","NC_048535.1",199647,206367,"+",117902912,"LOC117902912","-","XP_034670364.1",1002,"calsyntenin-1 isoform X1"
"chromosome dot","NC_048535.1",199647,206367,"+",117902912,"LOC117902912","-","XP_034670365.1",981,"calsyntenin-1 isoform X2"
"chromosome dot","NC_048535.1",212918,236486,"-",117902913,"LOC117902913","-","XP_034670371.1",662,"paired box protein Pax-2 isoform X5"
"chromosome dot","NC_048535.1",212918,236486,"-",117902913,"LOC117902913","-","XP_034670370.1",695,"paired box protein Pax-2 isoform X4"
"chromosome dot","NC_048535.1",212918,236486,"-",117902913,"LOC117902913","-","XP_034670367.1",872,"putative uncharacterized protein DDB_G0277255 isoform X1"
"chromosome dot","NC_048535.1",212918,229224,"-",117902913,"LOC117902913","-","XP_034670372.1",498,"paired box protein Pax-2 isoform X6"
"chromosome dot","NC_048535.1",212918,229224,"-",117902913,"LOC117902913","-","XP_034670369.1",708,"paired box protein Pax-2-A isoform X3"
"chromosome dot","NC_048535.1",213646,236486,"-",117902913,"LOC117902913","-","XP_034670368.1",814,"putative uncharacterized protein DDB_G0277255 isoform X2"
"chromosome dot","NC_048535.1",215046,236486,"-",117902913,"LOC117902913","-","XP_034670373.1",470,"paired box pox-meso protein isoform X7"
"chromosome dot","NC_048535.1",248130,254850,"+",117902950,"LOC117902950","-","XP_034670463.1",978,"inhibin beta chain"
"chromosome dot","NC_048535.1",263122,275442,"+",117902971,"LOC117902971","-","XP_034670519.1",3355,"apolipophorins isoform X1"
"chromosome dot","NC_048535.1",263122,275442,"+",117902971,"LOC117902971","-","XP_034670520.1",3355,"apolipophorins isoform X2"
"chromosome dot","NC_048535.1",289970,295496,"+",117902942,"LOC117902942","-","XP_034670442.1",619,"zyxin isoform X1"
"chromosome dot","NC_048535.1",289970,295496,"+",117902942,"LOC117902942","-","XP_034670443.1",619,"zyxin isoform X1"
"chromosome dot","NC_048535.1",289970,295496,"+",117902942,"LOC117902942","-","XP_034670444.1",602,"zyxin isoform X2"
"chromosome dot","NC_048535.1",289970,295496,"+",117902942,"LOC117902942","-","XP_034670445.1",375,"lipoma-preferred partner homolog isoform X3"
"chromosome dot","NC_048535.1",300244,309773,"+",117902927,"LOC117902927","-","XP_034670401.1",531,"calcium/calmodulin-dependent protein kinase type II alpha chain isoform X1"
"chromosome dot","NC_048535.1",300244,309773,"+",117902927,"LOC117902927","-","XP_034670402.1",530,"calcium/calmodulin-dependent protein kinase type II alpha chain isoform X2"
"chromosome dot","NC_048535.1",300244,309773,"+",117902927,"LOC117902927","-","XP_034670404.1",509,"calcium/calmodulin-dependent protein kinase type II alpha chain isoform X4"
"chromosome dot","NC_048535.1",300244,309773,"+",117902927,"LOC117902927","-","XP_034670405.1",508,"calcium/calmodulin-dependent protein kinase type II alpha chain isoform X5"
"chromosome dot","NC_048535.1",300244,309773,"+",117902927,"LOC117902927","-","XP_034670403.1",511,"calcium/calmodulin-dependent protein kinase type II alpha chain isoform X3"
"chromosome dot","NC_048535.1",300244,309773,"+",117902927,"LOC117902927","-","XP_034670406.1",490,"calcium/calmodulin-dependent protein kinase type II alpha chain isoform X6"
"chromosome dot","NC_048535.1",300244,309773,"+",117902927,"LOC117902927","-","XP_034670407.1",489,"calcium/calmodulin-dependent protein kinase type II alpha chain isoform X7"
"chromosome dot","NC_048535.1",313157,315396,"-",117902939,"LOC117902939","-","XP_034670437.1",506,"ATP synthase subunit beta, mitochondrial"
"chromosome dot","NC_048535.1",335162,356949,"+",117902945,"LOC117902945","-","XP_034670448.1",547,"paired box protein Pax-6 isoform X1"
"chromosome dot","NC_048535.1",335162,356949,"+",117902945,"LOC117902945","-","XP_034670450.1",543,"paired box protein Pax-6 isoform X2"
"chromosome dot","NC_048535.1",367311,376671,"+",117903002,"LOC117903002","-","XP_034670628.1",1944,"plexin-A2 isoform X1"
"chromosome dot","NC_048535.1",367311,376671,"+",117903002,"LOC117903002","-","XP_034670629.1",1944,"plexin-A2 isoform X1"
"chromosome dot","NC_048535.1",367311,376671,"+",117903002,"LOC117903002","-","XP_034670630.1",1944,"plexin-A2 isoform X1"
"chromosome dot","NC_048535.1",367311,376671,"+",117903002,"LOC117903002","-","XP_034670632.1",1944,"plexin-A2 isoform X1"
"chromosome dot","NC_048535.1",367311,376671,"+",117903002,"LOC117903002","-","XP_034670633.1",1944,"plexin-A2 isoform X1"
"chromosome dot","NC_048535.1",367311,376671,"+",117903002,"LOC117903002","-","XP_034670634.1",1927,"plexin-A2 isoform X2"
"chromosome dot","NC_048535.1",381676,384435,"-",117902949,"LOC117902949","-","XP_034670462.1",312,"N66 matrix protein"
"chromosome dot","NC_048535.1",407602,415408,"+",117902958,"LOC117902958","-","XP_034670486.1",775,"uncharacterized protein LOC117902958"
